TeamName,Pred_Label,P_Q1,P_Q2,P_Q3,P_Q4
Merrimack,Q4,0.004824835,0.024166299,0.36361614,0.6073927
James_Madison,Q3,0.007980293,0.037810806,0.7072123,0.24699663
Bucknell,Q4,0.0033572377,0.041372847,0.3385688,0.61670107
Maine,Q4,0.00027931036,0.010565215,0.14431386,0.8448416
UNLV,Q3,0.15879928,0.26709998,0.47738022,0.09672059
Cincinnati,Q1,0.49787304,0.28710598,0.19901748,0.016003458
Pittsburgh,Q1,0.3979772,0.34499124,0.232261,0.024770584
PFW,Q4,0.0030878854,0.034716405,0.32489952,0.63729626
Northeastern,Q4,0.00044134585,0.0056573623,0.47615516,0.5177461
Queens_NC,Q4,0.00041240535,0.0054616756,0.22447895,0.76964706
Tulane,Q3,0.007218109,0.066590734,0.63773143,0.28845975
Lamar,Q4,0.0023602196,0.015485468,0.37491113,0.6072432
Nevada,Q3,0.17266767,0.2921354,0.43280664,0.10239027
Florida_St,Q1,0.6518738,0.24326722,0.09397919,0.010879732
UNC_Greensboro,Q4,0.0040385094,0.02858481,0.35399,0.6133867
Toledo,Q4,0.002831259,0.018765574,0.4174264,0.5609768
Louisiana_Tech,Q3,0.014701064,0.050463583,0.6737852,0.26105013
East_Carolina,Q3,0.033797625,0.11437743,0.6200078,0.23181707
Drexel,Q4,0.00019876528,0.003063593,0.44438082,0.5523568
St_Louis,Q3,0.25376442,0.27750623,0.42679214,0.041937217
Nebraska,Q1,0.7923652,0.14645001,0.054203585,0.0069812033
Georgia_Tech,Q2,0.26064178,0.4586777,0.21448329,0.06619729
ETSU,Q4,0.000526609,0.012736915,0.3887166,0.5980198
Bethune-Cookman,Q4,1.8154846e-05,0.00065955357,0.11132807,0.8879941
Ohio_St,Q1,0.85247153,0.12498266,0.018865952,0.0036798855
Rhode_Island,Q3,0.11519302,0.2646703,0.5612693,0.05886735
Southern_Univ,Q4,3.595821e-05,0.0008568869,0.032078475,0.9670287
FL_Atlantic,Q3,0.15703416,0.13477324,0.55810666,0.15008594
Iona,Q4,0.00016311608,0.003322689,0.22521132,0.7713028
Northwestern,Q1,0.7780198,0.1913224,0.024721256,0.005936511
Iowa,Q1,0.48844045,0.33747247,0.14089924,0.033187833
UCF,Q1,0.6050536,0.29170197,0.09521352,0.008030865
S_Dakota_St,Q3,0.0077377134,0.051777218,0.68016297,0.2603221
S_Carolina_St,Q4,0.00022747702,0.0031568946,0.09135319,0.9052624
Cal_Baptist,Q3,0.0033636682,0.033575054,0.6014448,0.36161646
Princeton,Q3,0.0346886,0.07462566,0.6295318,0.2611539
Jacksonville,Q4,0.0021250953,0.019500408,0.36144274,0.6169318
Wofford,Q4,0.0065885163,0.018804124,0.35826638,0.616341
UNC_Asheville,Q3,0.008197846,0.04583142,0.501119,0.4448517
Nicholls_St,Q4,0.004822847,0.031467386,0.37761644,0.5860933
Georgetown,Q2,0.08397234,0.40498695,0.36835727,0.1426834
Ark_Little_Rock,Q4,0.0015114907,0.013881106,0.36756977,0.61703765
FGCU,Q4,0.0010411354,0.013435443,0.34909892,0.6364246
TCU,Q1,0.5142463,0.36285767,0.11236719,0.010528871
USC,Q1,0.5726046,0.29489708,0.11612083,0.016377527
Manhattan,Q4,0.00036176582,0.007175985,0.1950245,0.7974378
TAM_C._Christi,Q4,0.0006856594,0.018470984,0.27146792,0.7093754
Kennesaw,Q3,0.0091404505,0.04899516,0.60603416,0.33583024
South_Dakota,Q4,0.00045685057,0.016976137,0.32762215,0.6549449
E_Kentucky,Q4,0.0003475168,0.0060661184,0.18513021,0.80845606
Portland_St,Q4,0.00024774074,0.011826136,0.2604575,0.7274686
Utah,Q3,0.093246624,0.3515825,0.46243298,0.09273798
Cornell,Q3,0.04857705,0.11374376,0.44165716,0.39602208
Kansas_St,Q1,0.56692225,0.26838386,0.13660412,0.028089756
Loy_Marymount,Q3,0.07722936,0.18612406,0.5469136,0.18973304
Ga_Southern,Q4,0.0006701536,0.01291838,0.28886285,0.6975487
Temple,Q3,0.032809477,0.15068601,0.62715834,0.18934618
Davidson,Q3,0.0700476,0.14522536,0.70666033,0.078066684
SE_Louisiana,Q4,0.0004818863,0.00916916,0.23965111,0.75069785
Jackson_St,Q4,0.00041921402,0.005776182,0.29200852,0.7017961
Penn_St,Q1,0.45049313,0.33137485,0.16377638,0.054355677
WKU,Q3,0.016861359,0.085366346,0.6290093,0.268763
Cal_Poly,Q4,0.00094556046,0.013513391,0.24319312,0.74234784
Ohio,Q4,0.0016704479,0.028178921,0.35072646,0.6194242
Elon,Q4,0.00010839911,0.0026544062,0.34336188,0.6538753
LIU_Brooklyn,Q4,0.000217264,0.0073736096,0.066255525,0.92615366
SUNY_Albany,Q4,0.00087635085,0.013125614,0.16066682,0.8253312
Boston_Univ,Q4,0.00021458966,0.009840338,0.13894692,0.85099816
E_Michigan,Q4,0.0004029654,0.008009673,0.30075002,0.6908373
Murray_St,Q3,0.015689692,0.05911895,0.51454955,0.4106418
Appalachian_St,Q3,0.012167234,0.047308926,0.52039284,0.42013094
William_&_Mary,Q4,0.00029539654,0.0063633504,0.4716075,0.52173376
UTEP,Q3,0.0027482426,0.021048404,0.550643,0.42556038
Oakland,Q4,0.044337012,0.14976163,0.354887,0.4510143
Minnesota,Q1,0.5910093,0.24662322,0.13309358,0.029273944
Notre_Dame,Q1,0.5202024,0.34674668,0.10011544,0.032935448
Rutgers,Q1,0.51951057,0.32389915,0.12801877,0.028571503
Longwood,Q4,0.0014623996,0.01910655,0.39958963,0.57984143
Virginia,Q1,0.6488106,0.2320182,0.098084435,0.021086752
Oklahoma_St,Q2,0.3015215,0.4029842,0.24388008,0.05161423
IL_Chicago,Q3,0.036721375,0.09203624,0.59156466,0.27967772
N_Kentucky,Q4,0.004403527,0.040162977,0.34051755,0.6149159
Northern_Arizona,Q4,0.0003167709,0.008091679,0.07063672,0.9209548
New_Mexico_St,Q3,0.021219801,0.06255676,0.4691755,0.44704795
LSU,Q1,0.37576777,0.33244124,0.20126306,0.09052798
Montana_St,Q4,0.000779288,0.01878922,0.3125734,0.6678581
Northwestern_LA,Q4,0.0044552344,0.03429738,0.22897235,0.732275
Rider,Q4,0.00017147583,0.004070126,0.1110234,0.88473505
California,Q2,0.38225633,0.40017954,0.13141845,0.08614575
DePaul,Q2,0.088586725,0.36207947,0.29468673,0.2546471
MA_Lowell,Q4,0.000637228,0.01910478,0.22717914,0.7530788
Tennessee_St,Q4,0.00056717906,0.015566709,0.2589693,0.7248968
Sacred_Heart,Q4,0.000104115425,0.0030872882,0.118272506,0.878536
Texas_St,Q4,0.0018851683,0.021311406,0.47321904,0.5035844
Syracuse,Q1,0.60837793,0.31450513,0.052711885,0.024405077
Colorado,Q2,0.34362307,0.41049966,0.19136545,0.0545118
Butler,Q2,0.3278624,0.3772489,0.19288813,0.10200053
Hampton,Q4,0.0010603138,0.0112913605,0.42940953,0.5582388
Army,Q4,0.00066048163,0.015839083,0.1495426,0.8339578
Delaware,Q4,0.00041524743,0.005171881,0.26677087,0.727642
Siena,Q4,0.00013696378,0.0045196414,0.11394423,0.88139915
Navy,Q4,5.0865314e-05,0.003911989,0.067292884,0.9287443
St_Francis_PA,Q4,0.00083871745,0.011115212,0.11842155,0.86962456
Abilene_Chr,Q4,0.00087554246,0.01027871,0.2569715,0.7318742
Arizona_St,Q1,0.8893075,0.07791941,0.028299043,0.00447406
Rice,Q4,0.0012731877,0.015656717,0.3871059,0.5959642
Brown,Q4,0.0027800142,0.022829171,0.25172663,0.7226642
Hawaii,Q4,0.0015841189,0.031300712,0.2990634,0.6680517
Old_Dominion,Q4,0.0017727343,0.014551523,0.2772704,0.7064054
Stonehill,Q4,4.9580376e-05,0.0060510524,0.081416324,0.91248304
Valparaiso,Q4,0.00460699,0.049985874,0.302481,0.6429261
La_Salle,Q3,0.052597824,0.17139634,0.55062705,0.22537877
Georgia_St,Q4,0.0009783872,0.0147866625,0.30857262,0.67566234
Lindenwood,Q4,0.00094543345,0.019217534,0.19997178,0.77986526
Campbell,Q4,6.3126965e-05,0.0018071982,0.20970435,0.7884253
North_Florida,Q4,0.0009392689,0.0097111855,0.1681212,0.8212284
Colgate,Q4,0.0010454434,0.021563053,0.14761375,0.8297777
Wright_St,Q4,0.0027063175,0.039854698,0.23344846,0.72399056
Virginia_Tech,Q1,0.5932489,0.25558496,0.100347765,0.0508184
Tennessee_Tech,Q4,0.00089579256,0.01486363,0.22620587,0.75803465
UC_Davis,Q4,0.0030970024,0.02144145,0.18408988,0.7913717
Hofstra,Q4,0.0007459103,0.0052412795,0.4486774,0.5453354
Monmouth_NJ,Q4,6.546691e-05,0.0026894193,0.22286886,0.7743763
Incarnate_Word,Q4,0.00016204389,0.0052424315,0.117239706,0.8773558
San_Jose_St,Q4,0.033458088,0.12410927,0.34147355,0.5009591
Idaho,Q4,0.0004953437,0.008793191,0.14641947,0.84429204
Mercer,Q4,0.00019012444,0.004340391,0.1084912,0.8869783
Seattle,Q4,0.0029080417,0.024048796,0.29413056,0.6789126
South_Carolina,Q1,0.565512,0.2783002,0.11901858,0.037169278
Providence,Q2,0.33429557,0.4510827,0.12372126,0.09090051
Idaho_St,Q4,0.0009275349,0.0170533,0.21322225,0.768797
Morehead_St,Q4,0.00062065414,0.0098264385,0.16923815,0.8203147
S_Illinois,Q4,0.023205169,0.073454864,0.4351135,0.4682265
Indiana_St,Q4,0.002994936,0.026843982,0.37982136,0.5903397
Delaware_St,Q4,0.0001015284,0.0027523683,0.07533321,0.9218129
South_Florida,Q3,0.0064675347,0.049693715,0.49235833,0.45148042
NC_State,Q2,0.13669649,0.3964124,0.31559396,0.15129721
Duquesne,Q3,0.0515784,0.13008814,0.58944315,0.22889034
CS_Bakersfield,Q4,0.00021203188,0.0065009845,0.110951096,0.88233584
Bowling_Green,Q4,0.00020982807,0.004763529,0.16125856,0.8337681
Binghamton,Q4,0.00012512607,0.0049070767,0.06411506,0.9308528
Pepperdine,Q4,0.0022065553,0.0244762,0.23639494,0.7369223
Mercyhurst,Q4,5.330768e-05,0.007842809,0.060212243,0.9318916
Washington,Q1,0.61199397,0.23223549,0.10898908,0.046781484
Austin_Peay,Q4,0.0002513875,0.0055103926,0.11911891,0.87511927
Lafayette,Q4,0.00036704063,0.012290272,0.12777458,0.8595681
Boston_College,Q2,0.2917407,0.34443143,0.24453178,0.11929606
TX_Southern,Q4,1.3334738e-05,0.00036630372,0.034546252,0.96507406
Dartmouth,Q4,0.0025013878,0.028647915,0.19112836,0.77772236
Florida_A&M,Q4,6.544974e-05,0.0014919965,0.07031414,0.92812836
UTRGV,Q4,0.00038139432,0.009961424,0.15808415,0.83157307
Alcorn_St,Q4,7.129363e-05,0.0022316966,0.122296885,0.8754002
Tulsa,Q4,0.0020850308,0.024484726,0.3970618,0.57636845
SF_Austin,Q4,0.00021505382,0.0035287025,0.13923891,0.8570174
VMI,Q4,0.00026927586,0.00463334,0.09304159,0.90205586
St_Peter's,Q4,0.00016593665,0.0048732515,0.11135332,0.8836075
W_Michigan,Q4,0.0006710201,0.007162419,0.16511507,0.8270515
Louisiana,Q4,0.002311673,0.013168966,0.2933847,0.69113463
Loyola_MD,Q4,0.00021811326,0.0041652424,0.044861667,0.95075506
Ball_St,Q4,0.0003265068,0.008625404,0.1538556,0.8371924
Gardner_Webb,Q4,0.00036884565,0.005339422,0.18455663,0.8097351
Fairfield,Q4,4.2076725e-05,0.0021374144,0.0797315,0.9180889
Presbyterian,Q4,0.00029718791,0.0057396055,0.18763931,0.80632395
Massachusetts,Q3,0.054874502,0.14975166,0.46591222,0.32946163
Holy_Cross,Q4,0.00046511303,0.0068313903,0.078830816,0.91387266
UT_Arlington,Q4,0.0015475729,0.02336134,0.2941952,0.6808958
Wyoming,Q4,0.024978459,0.13230735,0.3304448,0.5122694
TN_Martin,Q4,0.00019583284,0.0043893075,0.14675029,0.8486646
Harvard,Q4,0.003164233,0.025143826,0.24280599,0.72888595
Fordham,Q3,0.04222451,0.1319929,0.4393004,0.38648224
Niagara,Q4,1.1124797e-05,0.0006438069,0.0546043,0.9447407
UT_San_Antonio,Q4,0.025281278,0.07552684,0.40249282,0.4966991
Evansville,Q4,0.002503879,0.025250044,0.2710551,0.70119095
Houston_Chr,Q4,0.00023235053,0.005947138,0.10638101,0.8874395
Sam_Houston_St,Q4,0.0032697006,0.03012074,0.29470107,0.6719085
UMBC,Q4,0.00041662843,0.0068534683,0.10637527,0.8863547
F_Dickinson,Q4,0.00020683919,0.0074298116,0.09077946,0.9015839
Howard,Q4,0.00035307865,0.0062162946,0.115036756,0.8783939
C_Michigan,Q4,0.005037762,0.031202894,0.20612861,0.75763077
Charlotte,Q4,0.004116641,0.041403312,0.334256,0.620224
NC_Central,Q4,0.00014402933,0.0027149476,0.05606579,0.9410752
Columbia,Q4,0.00048131586,0.0134051675,0.16093072,0.82518274
Portland,Q4,0.012227308,0.09039127,0.37696365,0.52041775
Morgan_St,Q4,4.210399e-05,0.0043279664,0.09351221,0.9021177
Wagner,Q4,7.280053e-05,0.0040210146,0.024863329,0.9710428
Lehigh,Q4,0.0018161591,0.025863828,0.11615165,0.8561683
Southern_Utah,Q4,0.0014230971,0.017105129,0.298274,0.68319774
Southern_Miss,Q4,0.00049577525,0.0124803055,0.20530349,0.7817204
Weber_St,Q4,0.00033265344,0.003832283,0.09322488,0.9026102
North_Dakota,Q4,0.0002513941,0.007230401,0.2160781,0.7764401
Missouri_KC,Q4,0.0009899263,0.01764371,0.22600104,0.7553653
E_Illinois,Q4,0.00082397665,0.0113625685,0.1384788,0.8493347
W_Illinois,Q4,9.659574e-05,0.004216122,0.09252948,0.9031578
Tarleton_St,Q4,0.00159857,0.026000734,0.29259655,0.67980415
Grambling,Q4,1.2139686e-06,6.0473933e-05,0.011814325,0.9881241
Coastal_Car,Q4,5.9841972e-05,0.0028590246,0.073052,0.9240291
E_Washington,Q4,0.000775677,0.016363777,0.14374445,0.83911604
Charleston_So,Q4,0.00050506863,0.009122116,0.1238694,0.86650336
Richmond,Q4,0.050446417,0.1206217,0.3660562,0.4628757
Southern_Indiana,Q4,0.000112970956,0.004994122,0.09853976,0.8963532
Penn,Q4,0.00062208564,0.009092019,0.10356072,0.88672525
Florida_Intl,Q4,9.4734525e-05,0.003932905,0.13075669,0.8652157
Denver,Q4,8.566643e-05,0.002816492,0.10435094,0.8927469
Buffalo,Q4,0.00039535898,0.006653806,0.112007104,0.88094366
Le_Moyne,Q4,7.509724e-06,0.0005859331,0.036564533,0.96284205
Seton_Hall,Q4,0.050111067,0.18377677,0.25596955,0.51014256
Missouri_St,Q4,0.0051032547,0.047882408,0.263839,0.6831753
Stony_Brook,Q4,8.427578e-06,0.0004407504,0.047241703,0.9523092
Pacific,Q4,0.020015508,0.085139796,0.19202165,0.702823
Alabama_A&M,Q4,1.0532156e-06,0.00017402404,0.027448835,0.9723761
Cent_Arkansas,Q4,3.1879616e-05,0.0018909443,0.035503455,0.96257377
Miami_FL,Q4,0.141801,0.27320996,0.26231754,0.32267153
IUPUI,Q4,0.00015109143,0.003740059,0.058423154,0.93768567
Detroit,Q4,0.0005003271,0.011120428,0.080607794,0.90777135
Fresno_St,Q4,0.0019879623,0.03324941,0.13444586,0.83031666
New_Hampshire,Q4,1.6515285e-05,0.0012084254,0.026143057,0.97263205
Stetson,Q4,3.298446e-05,0.0013557326,0.038669672,0.95994157
NC_A&T,Q4,2.6560614e-05,0.0012178267,0.09504117,0.9037144
Long_Beach_St,Q4,0.00013121162,0.0025804513,0.058173817,0.93911445
West_Georgia,Q4,6.3749508e-06,0.00046963108,0.024036318,0.9754876
Coppin_St,Q4,5.827011e-05,0.0025293054,0.043606788,0.9538056
San_Diego,Q4,0.0018439473,0.022951948,0.1333018,0.8419023
W_Carolina,Q4,0.00015249102,0.004637177,0.05309265,0.94211775
ULM,Q4,3.7142283e-05,0.0018221246,0.062315516,0.9358252
NJIT,Q4,8.08882e-06,0.0008365286,0.018033743,0.98112166
East_Texas_A&M,Q4,4.6621768e-05,0.0018819787,0.04281944,0.95525193
Utah_Tech,Q4,0.00021760626,0.006246332,0.1065031,0.887033
Oral_Roberts,Q4,0.00068074994,0.015679851,0.16222432,0.821415
CS_Fullerton,Q4,0.00030858885,0.00535094,0.056164615,0.9381758
New_Orleans,Q4,0.0001691512,0.0023877595,0.03399231,0.9634508
WI_Green_Bay,Q4,6.063079e-05,0.002395592,0.03512751,0.9624163
Prairie_View,Q4,8.1360656e-07,0.00010005643,0.017958988,0.9819401
Chicago_St,Q4,1.6168284e-05,0.00082177867,0.040131856,0.95903015
CS_Sacramento,Q4,1.3519459e-05,0.00074769143,0.031993225,0.96724564
Ark_Pine_Bluff,Q4,2.0558242e-07,8.838049e-05,0.0044091367,0.9955023
Air_Force,Q4,0.0013868599,0.01685331,0.103947416,0.8778124
N_Illinois,Q4,8.995772e-05,0.002657463,0.055141833,0.9421108
SC_Upstate,Q4,0.000101278376,0.0024569188,0.04207875,0.95536304
Bellarmine,Q4,6.711978e-06,0.0005912304,0.017222352,0.9821797
Canisius,Q4,1.8789888e-05,0.0006185397,0.022161433,0.9772012
MD_E_Shore,Q4,7.073915e-05,0.0020260944,0.06366436,0.93423885
Citadel,Q4,4.452216e-05,0.0019355312,0.031072618,0.9669474
MS_Valley_St,Q4,4.3236114e-06,0.0002637851,0.022585848,0.977146
